class,league,count
第22期後期,A1,12
第23期前期,A1,8
第23期後期,A1,8
第24期前期,A1,10
第24期後期,A1,10
第25期前期,A1,12
第25期後期,A1,12
第26期前期,A1,12
第26期後期,A1,12
第27期前期,A1,12
第27期後期,A1,12
第28期前期,A1,11
第28期後期,A1,11
第29期前期,A1,12
第29期後期,A1,12
第30期前期,A1,12
第30期後期,A1,12
第31期前期,A1,12
第31期後期,A1,12
第32期前期,A1,12
第32期後期,A1,12
第33期前期,A1,12
第33期後期,A1,12
第34期前期,A1,12
第34期後期,A1,12
第35期前期,A1,12
第35期後期,A1,12
第36期前期,A1,12
第36期後期,A1,12
第22期後期,A2,16
第23期前期,A2,13
第23期後期,A2,13
第24期前期,A2,15
第24期後期,A2,15
第25期前期,A2,16
第25期後期,A2,16
第26期前期,A2,16
第26期後期,A2,16
第27期前期,A2,15
第27期後期,A2,15
第28期前期,A2,16
第28期後期,A2,16
第29期前期,A2,16
第29期後期,A2,16
第30期前期,A2,13
第30期後期,A2,13
第31期前期,A2,16
第31期後期,A2,16
第32期前期,A2,16
第32期後期,A2,16
第33期前期,A2,16
第33期後期,A2,16
第34期前期,A2,16
第34期後期,A2,16
第35期前期,A2,16
第35期後期,A2,16
第36期前期,A2,16
第36期後期,A2,16
第22期後期,B1,16
第23期前期,B1,16
第23期後期,B1,14
第24期前期,B1,16
第24期後期,B1,16
第25期前期,B1,16
第25期後期,B1,15
第26期前期,B1,16
第26期後期,B1,16
第27期前期,B1,15
第27期後期,B1,16
第28期前期,B1,15
第28期後期,B1,16
第29期前期,B1,16
第29期後期,B1,16
第30期前期,B1,16
第30期後期,B1,16
第31期前期,B1,16
第31期後期,B1,16
第32期前期,B1,16
第32期後期,B1,16
第33期前期,B1,16
第33期後期,B1,16
第34期前期,B1,16
第34期後期,B1,16
第35期前期,B1,16
第35期後期,B1,16
第36期前期,B1,16
第36期後期,B1,16
第22期後期,B2,16
第23期前期,B2,16
第23期後期,B2,15
第24期前期,B2,16
第24期後期,B2,15
第25期前期,B2,16
第25期後期,B2,16
第26期前期,B2,16
第26期後期,B2,17
